Anthony,Banda,WSN,7,161,54,107,6.43,0.17,0.14,1.29,6,146,5.51,-0.28,-0.1,-0.1,20.9,0.44,90,14706,607455,0
Tanner,Banks,CHW,24,398,147,251,5.25,0.24,0.06,1.5,4.45,123,4.42,-0.51,0.2,0,17.4,0.43,89,16990,621383,2
Daniel,Bard,COL,30.2,527,206,321,1.76,0.2,0.19,0.59,5.08,35,5.95,0.92,0,1.1,20.2,0.3,92,7115,453268,0
Scott,Barlow,KCR,32,552,198,354,4.22,0.31,0.12,0.84,3.32,97,3.2,0.15,0.5,0.1,18.9,0.26,109,14993,605130,0
Joe,Barlow,TEX,9.2,147,45,102,4.66,0.14,0.05,1.86,5.36,110,5.81,-0.28,-0.1,0,19.4,0.36,114,22296,669618,0
Matt,Barnes,MIA,21.1,400,163,237,5.48,0.2,0.1,0.84,4.18,130,4.38,-0.38,0.1,-0.2,20.7,0.35,99,12863,598264,0
Tucker,Barnhart,CHC,1,11,3,8,0,0,0,0,3.29,0,8.08,0,0,0,9.8,0.4,-5,10200,571466,2
Jaime,Barria,LAA,54.1,837,290,547,3.31,0.2,0.07,1.33,4.54,77,4.54,-0.59,0.5,0.6,17.3,0.3,96,18356,642545,1
Anthony,Bass,TOR,20,326,114,212,4.95,0.22,0.1,1.35,4.69,118,4.57,-0.22,0,-0.1,17.9,0.43,107,7982,542914,9
Chris,Bassitt,TOR,105.2,1668,589,1079,4.09,0.22,0.08,1.45,4.83,97,4.43,0.16,0.7,1.1,20.2,0.38,90,12304,605135,0
Peyton,Battenfield,CLE,34.2,551,194,357,5.19,0.19,0.08,1.82,5.39,122,4.8,-0.63,0,0.1,16.1,0.51,87,25777,685410,2
Mike,Baumann,BAL,42,727,283,444,4.07,0.26,0.14,0.86,4.31,96,4.75,0.43,0.1,0.4,18.5,0.41,115,20206,657508,0
Felix,Bautista,BAL,42,703,248,455,1.07,0.51,0.12,0.64,1.65,25,1.67,2.38,2,2.1,21.1,0.36,141,20666,642585,0
Eduard,Bazardo,BAL,1,21,6,15,0,0,0,0,3.29,0,4.89,0,0,0,20.1,0.4,107,20997,660825,0
Matt,Beaty,SFG,1,22,9,13,27,0.14,0.14,0,4.29,634,5.89,0,0,-0.1,9.1,0.2,,17710,607461,0
Tristan,Beck,SFG,46.2,713,253,460,3.09,0.18,0.06,1.16,4.36,72,4.57,-0.04,-0.1,0.6,18.9,0.38,98,21584,663941,0
David,Bednar,PIT,34.1,529,166,363,1.31,0.29,0.04,0.26,1.86,30,3.53,1.98,1.5,1.3,18.9,0.33,117,19569,670280,1
Jalen,Beeks,TBR,37.1,643,251,392,6.27,0.24,0.11,0.96,4.15,156,4.63,0.21,0.2,-0.7,17.4,0.35,88,17192,656222,0
Andrew,Bellatti,PHI,12.2,266,109,157,5.68,0.23,0.15,1.42,5.26,129,5.1,-0.06,0,-0.2,22.8,0.35,102,10657,571479,1
Brayan,Bello,BOS,80,1339,487,852,3.04,0.21,0.07,0.9,3.78,68,3.93,1.12,1.4,2.5,18.5,0.42,91,23920,678394,0
Brennan,Bernardino,BOS,28.2,447,162,285,2.51,0.26,0.07,0.63,3.11,56,3.1,0.87,0.5,0.7,17.9,0.35,91,16835,657514,1
Jose,Berrios,TOR,108,1642,582,1060,3.5,0.23,0.07,1.08,3.95,83,3.94,0.86,1.7,2.3,18.3,0.35,100,14168,621244,0
Christian,Bethancourt,TBR,0.1,10,2,8,81,0,0,27,42.29,2013,12.87,0,-0.1,-0.1,12,0.5,,10028,542194,0
Tanner,Bibee,CLE,70,1203,460,743,3.34,0.24,0.09,0.77,3.66,79,4.39,0.61,1.4,1.7,19.4,0.39,97,30134,676440,0
Phil,Bickford,LAD,34,640,240,400,5.82,0.29,0.13,1.32,4.32,137,4.24,-0.19,0.1,-0.4,18.7,0.5,114,18519,641360,1
Osvaldo,Bido,PIT,23,431,161,270,4.7,0.2,0.09,0.39,3.77,108,5.08,-0.19,0.5,0.2,16.8,0.42,96,23150,674370,0
Shane,Bieber,CLE,110.2,1703,600,1103,3.66,0.19,0.07,1.06,4.13,86,4.09,0.85,1.5,2.4,17.9,0.46,100,19427,669456,0
Brandon,Bielak,HOU,54.1,899,367,532,3.81,0.18,0.09,1.66,5.44,90,4.67,0.31,-0.1,0.9,17.6,0.49,83,19866,656232,1
Jake,Bird,COL,55.1,839,303,536,3.42,0.23,0.08,0.49,3.25,68,3.73,-0.64,1,1,19.6,0.45,108,21267,656234,0
Ty,Blach,COL,13.1,232,80,152,6.75,0.08,0.03,1.35,5.16,135,4.77,0.01,0,-0.3,16.7,0.45,74,14361,621389,1
Paul,Blackburn,OAK,36,643,229,414,4.5,0.25,0.07,0.75,3.4,112,3.96,-0.27,0.8,0.3,21.2,0.32,87,14739,621112,1
Ronel,Blanco,HOU,46,805,306,499,4.7,0.24,0.12,2.35,6.29,112,5.08,-0.46,-0.5,0.2,18,0.34,98,19407,669854,0
Richard,Bleier,BOS,20,304,87,217,5.85,0.14,0.03,1.8,5.44,131,4.36,-0.67,-0.2,-0.3,17.8,0.41,79,7803,542947,0
Cody,Bolton,PIT,9,217,104,113,11,0.15,0.19,2,8.07,253,7.48,-0.05,-0.2,-0.3,16.9,0.49,91,23265,675989,1
Ryan,Borucki,PIT,5.2,78,23,55,6.35,0.17,0,0,2.41,146,3.53,-0.17,0.1,-0.1,17.8,0.32,90,16350,621366,0
Brad,Boxberger,CHC,14.2,252,102,150,5.52,0.2,0.14,1.84,6.22,128,5.19,0.03,-0.3,-0.1,17.9,0.43,91,10133,502202,0
Matthew,Boyd,DET,71,1178,423,755,5.45,0.24,0.08,1.39,4.39,130,4.33,-0.82,0.8,-0.2,17.4,0.36,86,15440,571510,0
Silvino,Bracho,CIN,7.1,126,50,76,3.68,0.19,0.19,0,4.11,79,6.28,-0.04,0.1,0.1,21,0.11,83,15051,611093,0
Cody,Bradford,TEX,26.2,460,154,306,4.39,0.23,0.07,1.35,4.38,104,4.76,-0.05,0.3,0.3,18,0.48,73,27597,674003,1
Kyle,Bradish,BAL,84,1380,502,878,3.32,0.23,0.07,0.86,3.61,79,3.8,0.74,1.5,2.2,20.2,0.44,122,24586,680694,0
Taj,Bradley,TBR,61.1,1084,371,713,5.43,0.3,0.07,1.61,3.99,135,3.35,-1.22,1,-0.2,19,0.46,111,22543,671737,1
Archie,Bradley,MIA,7.1,149,54,95,12.27,0.18,0.08,2.45,6.56,290,5.19,-0.09,-0.1,-0.3,18.9,0.61,83,12918,605151,0
Matt,Brash,SEA,35,663,251,412,3.6,0.38,0.09,0.26,1.89,89,2.61,-0.75,1.1,0.2,19.2,0.34,123,25756,666374,1
Ryan,Brasier,- - -,30.1,495,172,323,5.64,0.21,0.09,0.59,3.75,127,4.68,0.64,0.3,-0.2,19.2,0.44,107,5615,518489,3
Huascar,Brazoban,MIA,45.1,747,271,476,3.18,0.25,0.11,0.6,3.53,75,3.8,0.22,0.5,0.8,18.5,0.27,91,6107,623211,0
John,Brebbia,SFG,28.2,503,185,318,3.14,0.31,0.09,0.63,2.73,74,3.83,0.56,0.6,0.6,18.1,0.43,107,12777,605154,0
Colten,Brewer,NYY,8.1,104,39,65,4.32,0.12,0.09,3.24,8.45,103,5.68,0.34,-0.3,0,17.4,0.46,105,12997,605155,1
Jeff,Brigham,NYM,29.2,528,211,317,5.16,0.27,0.11,1.82,5.51,127,4.66,-0.84,-0.4,-0.3,19.3,0.34,115,16631,656257,0
Braden,Bristo,- - -,7,114,40,74,2.57,0.17,0.13,0,3.57,61,6.08,-0.02,0.1,0.1,21.4,0.14,98,20494,668754,0
Jhony,Brito,NYY,51.2,885,321,564,4.7,0.16,0.1,1.39,5.28,112,5.28,-0.35,0,0.1,18.7,0.37,92,25386,666745,0
Connor,Brogdon,PHI,29,545,200,345,4.03,0.21,0.1,1.55,5.18,92,5.09,-0.13,-0.1,0.2,19.1,0.32,101,21205,641401,0
